City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
253,Geraldton,AU,2022-06-07 12:32:01,-28.7667,114.6,70.21,35,100,19.57
254,Nome,US,2022-06-07 12:34:25,64.5011,-165.4064,53.67,58,0,0.0
255,Martapura,ID,2022-06-07 12:35:44,-3.4167,114.85,80.69,83,40,3.44
256,Haysville,US,2022-06-07 12:35:45,37.5645,-97.3523,69.3,93,75,8.05
257,Te Anau,NZ,2022-06-07 12:35:45,-45.4167,167.7167,46.24,90,86,5.12
258,Oktyabrskoye,RU,2022-06-07 12:35:46,43.0645,44.7417,71.74,68,75,15.66
259,Goya,AR,2022-06-07 12:35:46,-29.14,-59.2626,55.4,82,0,3.74
260,Rundu,NA,2022-06-07 12:35:46,-17.9333,19.7667,75.88,20,0,10.87
261,Esperance,AU,2022-06-07 12:35:47,-33.8667,121.9,52.99,68,16,8.77
262,Tokmak,UA,2022-06-07 12:35:47,47.2514,35.7058,79.77,35,0,12.17
263,Biloela,AU,2022-06-07 12:35:47,-24.4167,150.5,52.36,58,11,6.58
264,Carutapera,BR,2022-06-07 12:35:48,-1.195,-46.02,79.81,89,100,3.69
265,Lompoc,US,2022-06-07 12:35:48,34.6391,-120.4579,54.01,95,100,4.61
266,Samarai,PG,2022-06-07 12:35:48,-10.6167,150.6667,82.15,78,94,9.84
267,Kharan,PK,2022-06-07 12:35:49,28.5833,65.4167,100.72,4,0,4.79
268,Oktyabrskiy,RU,2022-06-07 12:35:49,54.4815,53.471,54.14,94,100,18.75
269,Mount Gambier,AU,2022-06-07 12:31:35,-37.8333,140.7667,48.4,71,70,9.01
270,Sorong,ID,2022-06-07 12:35:50,-0.8833,131.25,80.76,79,74,6.29
271,Faya,SA,2022-06-07 12:35:50,18.3851,42.4509,90.12,16,31,2.95
272,Bengkulu,ID,2022-06-07 12:34:19,-3.8004,102.2655,77.54,86,71,2.84
273,Bull Savanna,JM,2022-06-07 12:35:51,17.8868,-77.5902,79.48,74,97,12.21
274,Belaya Gora,RU,2022-06-07 12:35:51,68.5333,146.4167,47.75,40,0,6.91
275,Cayenne,GF,2022-06-07 12:35:51,4.9333,-52.3333,83.08,1,40,1.14
276,North Platte,US,2022-06-07 12:34:51,41.1239,-100.7654,63.12,89,40,11.99
277,Taltal,CL,2022-06-07 12:36:52,-25.4,-70.4833,63.9,69,14,1.92
278,Kungurtug,RU,2022-06-07 12:36:53,50.5994,97.5228,50.94,33,28,3.06
279,Nhulunbuy,AU,2022-06-07 12:36:53,-12.2333,136.7667,77.61,88,100,8.05
